station,nom_intervenant,num_site,secteur_scian,municipalite,debit_estival_m3s,volume_annuel_moyen_Mm3,premiere_annee,derniere_annee,rang
024015,CARRIÈRES P.C.M. INC.,43762.0,Extraction de grès,Saint-Wenceslas,0.014242963935160575,0.0685975,2021.0,2022.0,1
024015,Gestion G. Desloges inc.,45454.0,Terrains de golf & country clubs,Princeville,0.0028876387886804552,0.0218253,2020.0,2020.0,2
024015,CLUB DE GOLF DE PLESSISVILLE (1990) INC.,72842.0,Réseaux d'aqueduc & systèmes d'irrigation,Princeville,0.0025783721821290243,0.01112958,2021.0,2024.0,3
030101,Groupe Ataca inc.,67526.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Clotilde-de-Horton,0.14298647617669752,0.0885424434,2020.0,2024.0,1
030101,VILLE DE VICTORIAVILLE,49243.0,Réseaux d'aqueduc & systèmes d'irrigation,Victoriaville,0.13597561230585425,1.7963568,2020.0,2024.0,2
030101,GROUPE ROUGE & OR S.E.N.C.,73239.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Séraphine,0.060387321690012666,0.2980395,2023.0,2024.0,3
030101,GROUPE COLAS QUÉBEC INC.,47487.0,Extraction de pierre,Drummondville,0.05740819145758662,0.5615496666666666,2020.0,2022.0,4
030101,VILLE DE VAL-DES-SOURCES,60908.0,Réseaux d'aqueduc & systèmes d'irrigation,Val-des-Sources,0.04620026764361336,0.5863152,2020.0,2024.0,5
030101,VILLE DE VAL-DES-SOURCES,71630.0,Réseaux d'aqueduc & systèmes d'irrigation,Val-des-Sources,0.03954954998008761,0.5217592,2020.0,2024.0,6
030101,9263-1266 Québec inc.,73689.0,Culture mixte de fruits & de légumes,Saint-Valère,0.023922839506172838,0.031004,2023.0,2024.0,7
030101,LACTALIS CANADA INC.,43830.0,Fab. de produits laitiers,Victoriaville,0.01861197381521306,0.245938,2020.0,2024.0,8
030101,GROUPE COLAS QUÉBEC INC.,73733.0,Extraction de pierre,Drummondville,0.018031878484667467,0.2383055,2023.0,2024.0,9
030101,Information personnelle,70417.0,Aquaculture animale,Danville,0.0173229113566972,0.20660381333333333,2020.0,2022.0,10
030101,Pisciculture d'Arthabaska inc.,70445.0,Aquaculture animale,Chesterville,0.009056577060931898,0.11963064,2020.0,2024.0,11
030101,VILLE DE DANVILLE,50507.0,Réseaux d'aqueduc & systèmes d'irrigation,Danville,0.00865156262445241,0.1143638,2020.0,2024.0,12
030101,Station du Mont Gleason inc.,67651.0,Centres de ski,Warwick,0.005791666666666666,0.002502,2021.0,2021.0,13
030101,FERME RÉJEAN BEAUPARLANT INC.,72803.0,Culture de pommes de terre,Notre-Dame-du-Bon-Conseil,0.004217592592592592,0.005466,2021.0,2021.0,14
030101,LES GAZONS STE-JULIE LTEE,72017.0,Autres cultures agricoles,Victoriaville,0.0033423859427609433,0.015803177,2022.0,2023.0,15
030101,CLUB DE GOLF LAURIER INC.,48467.0,Terrains de golf & country clubs,Princeville,0.002891484204839603,0.0327768,2020.0,2024.0,16
030101,LES POMMES DE TERRE CARDINAL INC.,71112.0,Culture de pommes de terre,Sainte-Brigitte-des-Saults,0.0026666666666666666,0.035136,2020.0,2024.0,17
030101,9190-4805 QUÉBEC INC.,71723.0,Extraction de pierre,Val-des-Sources,0.0017320547922474445,0.022901,2022.0,2024.0,18
030101,LES CULTURES DE CHEZ NOUS INC.,71017.0,Culture de légumes & de melons,Sainte-Brigitte-des-Saults,0.0013541666666666667,0.00102,2021.0,2021.0,19
030101,LES CULTURES DE CHEZ NOUS INC.,71016.0,Culture de légumes & de melons,Sainte-Brigitte-des-Saults,0.0013333333333333333,0.001536,2020.0,2020.0,20
030101,+ 2 autres préleveurs,,,,2.526746234312931e-05,,,,21
030103,AGROPUR COOPÉRATIVE,45220.0,Fab. de produits laitiers,Notre-Dame-du-Bon-Conseil,0.150852489048188,1.9890228,2020.0,2024.0,1
030103,Groupe Ataca inc.,67526.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Clotilde-de-Horton,0.14298647617669752,0.0885424434,2020.0,2024.0,2
030103,VILLE DE VICTORIAVILLE,49243.0,Réseaux d'aqueduc & systèmes d'irrigation,Victoriaville,0.13597561230585425,1.7963568,2020.0,2024.0,3
030103,LES BASSINS ROUGES S.E.N.C.,73238.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Séraphine,0.08861552446877967,0.438398,2023.0,2024.0,4
030103,CASCADES CANADA ULC,43829.0,Usines de papier (sauf papier journal),Kingsey Falls,0.07924580744723218,1.0478008,2020.0,2024.0,5
030103,GROUPE ROUGE & OR S.E.N.C.,73239.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Séraphine,0.060387321690012666,0.2980395,2023.0,2024.0,6
030103,GROUPE COLAS QUÉBEC INC.,47487.0,Extraction de pierre,Drummondville,0.05740819145758662,0.5615496666666666,2020.0,2022.0,7
030103,La Cannebergière Nathaniel (2017) inc.,71229.0,Culture de noix & de fruits (sauf les agrumes),Sainte-Séraphine,0.05145901853681658,0.07431767373999999,2020.0,2023.0,8
030103,VILLE DE VAL-DES-SOURCES,60908.0,Réseaux d'aqueduc & systèmes d'irrigation,Val-des-Sources,0.04620026764361336,0.5863152,2020.0,2024.0,9
030103,VILLE DE VAL-DES-SOURCES,71630.0,Réseaux d'aqueduc & systèmes d'irrigation,Val-des-Sources,0.03954954998008761,0.5217592,2020.0,2024.0,10
030103,AGROPUR COOPÉRATIVE,44067.0,Fab. de produits laitiers,Notre-Dame-du-Bon-Conseil,0.02864879330943847,0.3775938,2020.0,2024.0,11
030103,9263-1266 Québec inc.,73689.0,Culture mixte de fruits & de légumes,Saint-Valère,0.023922839506172838,0.031004,2023.0,2024.0,12
030103,LACTALIS CANADA INC.,43830.0,Fab. de produits laitiers,Victoriaville,0.01861197381521306,0.245938,2020.0,2024.0,13
030103,GROUPE COLAS QUÉBEC INC.,73733.0,Extraction de pierre,Drummondville,0.018031878484667467,0.2383055,2023.0,2024.0,14
030103,Information personnelle,70417.0,Aquaculture animale,Danville,0.0173229113566972,0.20660381333333333,2020.0,2022.0,15
